posX	posY	pressure	movementX	movementY	time
715.3171997070312	703.4807739257812	0.08235294371843338	0	0	0.0
715.3171997070312	702.122314453125	0.08235294371843338	0	-1	35.89999990072101
713.9597778320312	700.7640380859375	0.08235294371843338	-1	-1	47.999999951571226
709.8878784179688	692.6140747070312	0.08235294371843338	-3	-6	64.79999993462116
704.4583740234375	684.4639892578125	0.08235294371843338	-4	-6	81.59999991767108
703.1011352539062	679.0307006835938	0.08235294371843338	-1	-4	89.29999999236315
699.029052734375	673.5974731445312	0.08235294371843338	-3	-4	98.5999999102205
690.8850708007812	661.37255859375	0.08235294371843338	-6	-9	114.89999992772937
673.2396240234375	632.8475952148438	0.08235294371843338	-13	-21	131.19999994523823
647.4502563476562	598.8892822265625	0.08235294371843338	-19	-25	148.30000000074506
598.5861206054688	549.9894409179688	0.08235294371843338	-36	-36	164.99999992083758
560.58056640625	520.1061401367188	0.08235294371843338	-28	-22	181.40000000130385
519.8604736328125	498.3729248046875	0.08235294371843338	-30	-16	198.09999992139637
470.99627685546875	479.3562927246094	0.08235294371843338	-36	-14	214.59999994840473
419.4174499511719	469.8480224609375	0.08235294371843338	-38	-7	231.29999998491257
369.1959228515625	468.4895935058594	0.08235294371843338	-37	-1	247.899999958463
321.6891174316406	480.714599609375	0.08235294371843338	-35	9	264.59999999497086
270.1102294921875	511.9561462402344	0.08235294371843338	-38	23	281.2999999150634
222.6034393310547	564.9310302734375	0.08235294371843338	-35	39	297.90000000502914
183.24063110351562	638.2808227539062	0.08235294371843338	-29	54	314.59999992512167
157.45120239257812	727.9306640625	0.08235294371843338	-19	66	331.1999998986721
147.94984436035156	824.3720092773438	0.08235294371843338	-7	71	347.99999999813735
156.0938720703125	920.8134155273438	0.08235294371843338	6	71	364.5999999716878
185.95529174804688	1013.1798095703125	0.08235294371843338	22	68	381.3999999547377
238.8914794921875	1093.3211669921875	0.08235294371843338	39	59	398.09999999124557
344.76385498046875	1181.6126708984375	0.08235294371843338	78	65	414.699999964796
423.48944091796875	1212.854248046875	0.08235294371843338	58	23	431.29999993834645
500.85772705078125	1225.0792236328125	0.08235294371843338	57	9	447.8999999118969
582.2980346679688	1216.92919921875	0.08235294371843338	60	-6	464.50000000186265
655.59423828125	1178.89599609375	0.08235294371843338	54	-28	481.2999999849126
716.6743774414062	1105.5462646484375	0.08235294371843338	45	-54	497.899999958463
757.3945922851562	1007.7465209960938	0.08235294371843338	30	-72	514.5999999949709
775.0400390625	899.0802001953125	0.08235294371843338	13	-80	531.2999999150634
783.1840209960938	790.4137573242188	0.08235294371843338	6	-80	547.9999999515712
775.0400390625	689.8973388671875	0.08235294371843338	-6	-74	564.4999999785796
756.0372924804688	601.6060180664062	0.08235294371843338	-14	-65	581.2999999616295
719.3890991210938	528.2561645507812	0.08235294371843338	-27	-54	597.89999993518
671.8822631835938	472.5646667480469	0.08235294371843338	-35	-41	614.5999999716878
614.8740844726562	439.9647521972656	0.08235294371843338	-42	-24	631.3999999547377
553.7939453125	429.0981140136719	0.08235294371843338	-45	-8	648.3000000007451
464.2095947265625	442.681396484375	0.08235294371843338	-66	10	664.7999999113381
394.9853515625	483.4313049316406	0.08235294371843338	-51	30	681.1999999918044
332.54779052734375	539.122802734375	0.08235294371843338	-46	41	697.7999999653548
282.3262939453125	600.24755859375	0.08235294371843338	-37	45	714.5000000018626
241.6061553955078	670.8807373046875	0.08235294371843338	-30	52	731.1999999219552
218.53140258789062	745.5889282226562	0.08235294371843338	-17	55	747.899999958463
204.9580535888672	824.3720092773438	0.08235294371843338	-10	58	764.5999999949709
202.24337768554688	904.5134887695312	0.08235294371843338	-2	59	781.2999999150634
215.81674194335938	984.6548461914062	0.08235294371843338	10	59	797.9999999515712
251.10752868652344	1058.004638671875	0.08235294371843338	26	54	814.4999999785796
299.9717102050781	1120.48779296875	0.08235294371843338	36	46	831.3999999081716
361.0519104003906	1170.74609375	0.08235294371843338	45	37	847.89999993518
431.63348388671875	1200.6292724609375	0.08235294371843338	52	22	864.4999999087304
502.2150573730469	1211.4959716796875	0.08235294371843338	52	8	881.4999999012798
570.0819702148438	1208.7794189453125	0.08235294371843338	50	-2	897.9999999282882
652.8795776367188	1165.3126220703125	0.08235294371843338	61	-32	914.5999999018386
693.5997314453125	1100.11279296875	0.08235294371843338	30	-48	931.2999999383464
716.6743774414062	1019.971435546875	0.08235294371843338	17	-59	947.7999999653548
728.8905029296875	934.396728515625	0.08235294371843338	9	-63	964.5999999484047
730.247802734375	847.463623046875	0.08235294371843338	1	-64	981.1999999219552
723.461181640625	761.8887939453125	0.08235294371843338	-5	-63	997.9999999050051
707.1730346679688	680.3890991210938	0.08235294371843338	-12	-60	1014.5999999949709
682.7410278320312	602.96435546875	0.08235294371843338	-18	-57	1031.1999999685213
642.0208129882812	537.7644653320312	0.08235294371843338	-30	-48	1047.9000000050291
595.8713989257812	487.5062561035156	0.08235294371843338	-34	-37	1064.5999999251217
542.9351806640625	461.6979675292969	0.08235294371843338	-39	-19	1081.2999999616295
483.2123107910156	457.623046875	0.08235294371843338	-44	-3	1097.7999999886379
416.7027893066406	472.5646667480469	0.08235294371843338	-49	11	1114.5999999716878
347.478515625	510.5978698730469	0.08235294371843338	-51	28	1131.3999999547377
282.3262939453125	566.2894287109375	0.08235294371843338	-48	41	1148.1999999377877
196.8140106201172	677.67236328125	0.08235294371843338	-63	82	1164.5999999018386
153.3791961669922	764.6055297851562	0.08235294371843338	-32	64	1181.1999999918044
130.304443359375	854.2552490234375	0.08235294371843338	-17	66	1197.8999999118969
122.1604232788086	939.8299560546875	0.08235294371843338	-6	63	1214.3999999389052
127.58977508544922	1015.8963623046875	0.08235294371843338	4	56	1231.1999999219552
147.94984436035156	1087.887939453125	0.08235294371843338	15	53	1247.7999998955056
191.38465881347656	1153.0877685546875	0.08235294371843338	32	48	1264.4999999320135
247.0355224609375	1208.7794189453125	0.08235294371843338	41	41	1281.1999999685213
312.187744140625	1250.8875732421875	0.08235294371843338	48	31	1297.7999999420717
384.12664794921875	1273.97900390625	0.08235294371843338	53	17	1314.4999999785796
